Country,Code,Year,Subscription
Afghanistan,AFG,2018,0.043040552
Albania,ALB,2018,12.55565885
Algeria,DZA,2018,7.262935415
Andorra,AND,2018,46.31197569
Angola,AGO,2018,0.355604536
Argentina,ARG,2018,19.10152239
Armenia,ARM,2018,11.7709355
Australia,AUS,2018,33.8471546
Austria,AUT,2018,28.35440316
Azerbaijan,AZE,2018,19.00503511
Bahamas,BHS,2018,21.05814535
Bahrain,BHR,2018,8.04844512
Bangladesh,BGD,2018,4.990118524
Barbados,BRB,2018,31.16790689
Belarus,BLR,2018,33.86912852
Belgium,BEL,2018,39.21686286
Belize,BLZ,2018,6.436926836
Benin,BEN,2018,0.235384383
Bhutan,BTN,2018,1.43188916
Bolivia,BOL,2018,4.4401541
Bosnia and Herzegovina,BIH,2018,21.55180998
Botswana,BWA,2018,1.776521383
Brazil,BRA,2018,14.91053848
British Virgin Islands,VGB,2018,15.82108583
Brunei,BRN,2018,11.52826701
Bulgaria,BGR,2018,27.0001679
Burkina Faso,BFA,2018,0.069959364
Burundi,BDI,2018,0.03521135
Cambodia,KHM,2018,1.022782322
Cameroon,CMR,2018,1.569673259
Canada,CAN,2018,38.96365923
Cape Verde,CPV,2018,2.879358255
Central African Rep.,CAF,2018,0.013029405
Chad,TCD,2018,0.002157939
Chile,CHL,2018,17.35624022
China,CHN,2018,28.53518942
Colombia,COL,2018,13.44825224
Comoros,COM,2018,0.183943234
Costa Rica,CRI,2018,16.69754679
Cote d'Ivoire,CIV,2018,0.701728773
Croatia,HRV,2018,27.14540571
Cuba,CUB,2018,0.871730745
Curacao,CUW,2018,31.84968541
Cyprus,CYP,2018,36.27192779
Czechia,CZE,2018,30.21688169
Dem. Rep. Congo,COD,2018,0.005495545
Denmark,DNK,2018,44.0863778
Djibouti,DJI,2018,2.660067597
Dominica,DMA,2018,16.07539267
Dominican Republic,DOM,2018,8.262156303
Ecuador,ECU,2018,11.43506241
Egypt,EGY,2018,6.730521069
El Salvador,SLV,2018,7.666788252
Equatorial Guinea,GNQ,2018,0.123760958
Estonia,EST,2018,33.34842621
Faeroe Islands,FRO,2018,37.48891684
Fiji,FJI,2018,1.475184016
Finland,FIN,2018,31.45271337
France,FRA,2018,44.77576734
French Polynesia,PYF,2018,21.5320568
Gabon,GAB,2018,1.373063902
Gambia,GMB,2018,0.194421809
Georgia,GEO,2018,21.53768403
Germany,DEU,2018,41.11294951
Ghana,GHA,2018,0.205824537
Gibraltar,GIB,2018,56.28744291
Greece,GRC,2018,37.6522655
Greenland,GRL,2018,23.32225444
Grenada,GRD,2018,24.2135769
Guinea,GIN,2018,0.009770995
Guinea-Bissau,GNB,2018,0.064237212
Haiti,HTI,2018,0.279596353
Honduras,HND,2018,3.701279642
Hong Kong,HKG,2018,36.82553485
Hungary,HUN,2018,31.7234027
Iceland,ISL,2018,40.9811917
