Country,Code,Year,Subscription,Continent
Australia,AUS,2010,101.558682,Oceania
Australia,AUS,2011,105.5506209,Oceania
Australia,AUS,2012,106.2611564,Oceania
Australia,AUS,2013,107.2461548,Oceania
Australia,AUS,2014,106.2025331,Oceania
Australia,AUS,2015,107.6778349,Oceania
Australia,AUS,2016,109.4312952,Oceania
Australia,AUS,2017,108.4417819,Oceania
Australia,AUS,2018,111.012255,Oceania
Ethiopia,ETH,2010,7.820633062,Africa
Ethiopia,ETH,2011,15.6719216,Africa
Ethiopia,ETH,2012,22.13367446,Africa
Ethiopia,ETH,2013,26.88750898,Africa
Ethiopia,ETH,2014,31.08234717,Africa
Ethiopia,ETH,2015,41.96106195,Africa
Ethiopia,ETH,2016,49.44236323,Africa
Ethiopia,ETH,2018,43.525613,Africa
Ethiopia,ETH,2017,37.2180717,Africa
France,FRA,2010,91.89795153,Europe
France,FRA,2011,94.61229513,Europe
France,FRA,2012,97.94818377,Europe
France,FRA,2013,99.10863425,Europe
France,FRA,2014,101.9183391,Europe
France,FRA,2015,103.4564614,Europe
France,FRA,2016,104.4897355,Europe
France,FRA,2017,106.4394347,Europe
France,FRA,2018,108.357357,Europe
Hong Kong,HKG,2010,198.0056503,Asia
Hong Kong,HKG,2011,218.2648621,Asia
Hong Kong,HKG,2012,232.551291,Asia
Hong Kong,HKG,2013,239.4366561,Asia
Hong Kong,HKG,2014,237.7048273,Asia
Hong Kong,HKG,2015,232.7365615,Asia
Hong Kong,HKG,2016,242.7675438,Asia
Hong Kong,HKG,2017,251.7650057,Asia
Hong Kong,HKG,2018,269.9337198,Asia
Malaysia,MYS,2010,120.0321114,Asia
Malaysia,MYS,2011,127.9583696,Asia
Malaysia,MYS,2012,142.1646873,Asia
Malaysia,MYS,2013,145.9333957,Asia
Malaysia,MYS,2014,150.430901,Asia
Malaysia,MYS,2015,145.6973848,Asia
Malaysia,MYS,2016,141.6489819,Asia
Malaysia,MYS,2017,136.1163217,Asia
Malaysia,MYS,2018,134.5259947,Asia
Mali,MLI,2010,49.43988622,Africa
Mali,MLI,2011,69.75324517,Africa
Mali,MLI,2012,91.4474086,Africa
Mali,MLI,2013,120.0580321,Africa
Mali,MLI,2014,138.8051373,Africa
Mali,MLI,2015,130.1634495,Africa
Mali,MLI,2016,112.5365904,Africa
Mali,MLI,2017,119.0233265,Africa
Mali,MLI,2018,115.0846727,Africa
Philippines,PHL,2010,88.48886596,Asia
Philippines,PHL,2011,98.55576616,Asia
Philippines,PHL,2012,104.9023479,Asia
Philippines,PHL,2013,103.9971193,Asia
Philippines,PHL,2014,110.7577007,Asia
Philippines,PHL,2015,115.3994392,Asia
Philippines,PHL,2016,115.8522806,Asia
Philippines,PHL,2017,114.0711091,Asia
Philippines,PHL,2018,126.2046486,Asia
South Korea,KOR,2010,102.4656157,Asia
South Korea,KOR,2011,105.4646393,Asia
South Korea,KOR,2012,107.1189423,Asia
South Korea,KOR,2013,108.6107086,Asia
South Korea,KOR,2014,113.2043576,Asia
South Korea,KOR,2015,115.9612246,Asia
South Korea,KOR,2016,120.2263275,Asia
South Korea,KOR,2017,124.5854293,Asia
South Korea,KOR,2018,129.6727883,Asia
