Country,Code,Year,Users,Continent,Population
Australia,AUS,2008,15296165,Oceania,21370595
Australia,AUS,2009,16141237,Oceania,21783014
Australia,AUS,2010,16811249,Oceania,22141583
Australia,AUS,2011,17868675,Oceania,22479778
Australia,AUS,2012,18029261,Oceania,22852649
Australia,AUS,2013,19320093,Oceania,23236271
Australia,AUS,2014,19718721,Oceania,23595599
Australia,AUS,2015,20125028,Oceania,23947998
Australia,AUS,2016,21288325,Oceania,24329961
Ethiopia,ETH,2008,374332,Africa,85543671
Ethiopia,ETH,2009,461248,Africa,88007639
Ethiopia,ETH,2010,657770,Africa,90538520
Ethiopia,ETH,2011,990514,Africa,93149977
Ethiopia,ETH,2012,2680881,Africa,95798770
Ethiopia,ETH,2013,4364835,Africa,98438750
Ethiopia,ETH,2014,7497242,Africa,101115615
Ethiopia,ETH,2015,13837584,Africa,103867140
Ethiopia,ETH,2016,15736221,Africa,106718161
France,FRA,2008,44054538,Europe,62780187
France,FRA,2009,44871728,Europe,63106461
France,FRA,2010,48707065,Europe,63417366
France,FRA,2011,49293971,Europe,63733777
France,FRA,2012,51828313,Europe,64058465
France,FRA,2013,52363068,Europe,64387736
France,FRA,2014,53759659,Europe,64692495
France,FRA,2015,50283063,Europe,64916336
France,FRA,2016,51304091,Europe,65086852
Hong Kong,HKG,2008,4629195,Asia,7020689
Hong Kong,HKG,2009,4846391,Asia,7064465
Hong Kong,HKG,2010,5058159,Asia,7101612
Hong Kong,HKG,2011,5101518,Asia,7142969
Hong Kong,HKG,2012,5180565,Asia,7201060
Hong Kong,HKG,2013,5304240,Asia,7264330
Hong Kong,HKG,2014,5746029,Asia,7319503
Hong Kong,HKG,2015,6155104,Asia,7366411
Hong Kong,HKG,2016,6388370,Asia,7408005
Malaysia,MYS,2008,15127977,Asia,27570054
Malaysia,MYS,2009,15431409,Asia,28124780
Malaysia,MYS,2010,15827219,Asia,28655771
Malaysia,MYS,2011,17467428,Asia,29162033
Malaysia,MYS,2012,19194160,Asia,29662835
Malaysia,MYS,2013,16949918,Asia,30174269
Malaysia,MYS,2014,19244796,Asia,30696133
Malaysia,MYS,2015,21833124,Asia,31232796
Malaysia,MYS,2016,24571919,Asia,31789694
Mali,MLI,2008,221970,Africa,14940785
Mali,MLI,2009,262919,Africa,15435537
Mali,MLI,2010,301502,Africa,15945201
Mali,MLI,2011,341902,Africa,16469051
Mali,MLI,2012,448187,Africa,16957039
Mali,MLI,2013,576724,Africa,17459621
Mali,MLI,2014,1187399,Africa,18020267
Mali,MLI,2015,1804435,Africa,18593022
Mali,MLI,2016,1999620,Africa,19191297
Philippines,PHL,2008,5644766,Asia,92699093
Philippines,PHL,2009,8299879,Asia,94384256
Philippines,PHL,2010,23431656,Asia,96337126
Philippines,PHL,2011,27630603,Asia,98248616
Philippines,PHL,2012,35099725,Asia,100175512
Philippines,PHL,2013,47368415,Asia,102076337
Philippines,PHL,2014,49650716,Asia,103767129
Philippines,PHL,2015,54621685,Asia,105312986
Philippines,PHL,2016,57342723,Asia,106735723
South Korea,KOR,2008,39867378,Asia,48356486
South Korea,KOR,2009,40293434,Asia,48546689
South Korea,KOR,2010,41475740,Asia,48769330
South Korea,KOR,2011,41665689,Asia,49127641
South Korea,KOR,2012,41994852,Asia,49599579
South Korea,KOR,2013,42528466,Asia,50071168
South Korea,KOR,2014,44115997,Asia,50539055
South Korea,KOR,2015,45483702,Asia,50983908
South Korea,KOR,2016,47156754,Asia,51297837
